video_id,category_id,category_name
-JQz3DfuZLk,20,Gaming
-JTgspdJNn8,24,Entertainment
-JhqO2KWr5U,24,Entertainment
-K0G7JXvXtU,10,Music
-K0Jxsaocz4,17,Sports
-K6E6U58zGE,22,People & Blogs
-KEwkWjADEA,28,Science & Technology
-KGLxK13ru0,20,Gaming
-KJaUADw_a0,24,Entertainment
-KNiSSW2v1A,22,People & Blogs
-LM7rFZ46GY,17,Sports
-LSpmUO_bAg,22,People & Blogs
-LTCxG4UMEs,1,Film & Animation
-LpY6rduhMs,17,Sports
-Lsbi-bVfk0,28,Science & Technology
-M3L_Kykl6w,28,Science & Technology
-M3zLZr2XLk,20,Gaming
-MJx3Yf7V10,24,Entertainment
-MNn0DkfZVM,24,Entertainment
-M_cT4mVFyg,25,News & Politics
-M_r8MKQ3mo,20,Gaming
-MfpgbUtVnc,24,Entertainment
-MnXYZCKrc0,17,Sports
-MoKoWxLnGA,10,Music
-MyvZMiRGvE,10,Music
-N0x_Tt7WVc,23,Comedy
-N27hbBD3qo,24,Entertainment
-NSt34uxNag,17,Sports
-NVYc8FKLWM,17,Sports
-NistTz-_C4,24,Entertainment
-NtzNQ88uJ8,24,Entertainment
-NycdXYBeG4,20,Gaming
-O6A3fFtMHo,20,Gaming
-OE6LhxsTNA,22,People & Blogs
-ORrIRUYyT0,24,Entertainment
-OXF89dozUI,25,News & Politics
-OZhQMmQn00,24,Entertainment
-OiDhicteQY,24,Entertainment
-OuiC_I99co,23,Comedy
-PAIBSJf8p0,24,Entertainment
-PAdW_9pOjc,24,Entertainment
-PLHPmlRcmw,25,News & Politics
-PLSmnYF2rs,24,Entertainment
-PSp6GNwTs8,10,Music
-PUz-GELJwY,10,Music
-Pd_fNUwKKI,24,Entertainment
-PmkvlDk-yI,22,People & Blogs
-PrOU7IVLR8,24,Entertainment
-PwfZcU-LQI,1,Film & Animation
-Q5RP0GMbyI,17,Sports
-Q9qr-xWnfY,23,Comedy
-QA_UtGXVdo,26,Howto & Style
-QKhHfCgwoQ,22,People & Blogs
-QQFBImyFQ8,1,Film & Animation
-QXvc2PN1H8,20,Gaming
-QlWHTA1XIU,24,Entertainment
-QmDioRzNeg,2,Autos & Vehicles
-QodNqPR8UA,20,Gaming
-QqYcUqoMh8,22,People & Blogs
-Qw7eEOmFOw,22,People & Blogs
-R2KSJOGmVA,24,Entertainment
-RYJ5wF372k,24,Entertainment
-RrKm94Tk9c,24,Entertainment
-RxebQuFgJY,10,Music
-S0e966arrY,24,Entertainment
-S5_MQH9jDA,28,Science & Technology
-SFfzy7jGtE,20,Gaming
-SXMayeV9Dw,23,Comedy
-S_f-huz-EU,25,News & Politics
-Se_HrAfFz8,28,Science & Technology
-SowY0eORCQ,20,Gaming
-SqknX3CVGQ,26,Howto & Style
-St6ViJcE0M,22,People & Blogs
-Svix0tetP4,23,Comedy
-T3HXRVMF-w,20,Gaming
-T4hyL-YNws,20,Gaming
-T6CISwlxMc,1,Film & Animation
-TCXitmTijM,1,Film & Animation
-THCqN6CJng,17,Sports
-TMnvi3kdQU,22,People & Blogs
-TRrO3q2PzU,23,Comedy
-TXd_rai9r4,1,Film & Animation
-TZr-Q6T8NA,24,Entertainment
-TeeIEh2IE8,24,Entertainment
-ThOLu_zO1M,20,Gaming
-Th_J8RUCKM,2,Autos & Vehicles
-ToHbHcolfA,10,Music
-TovRjgudXs,2,Autos & Vehicles
-Tw4SetEROI,17,Sports
-TxNy1Ht5tQ,25,News & Politics
-UCDXvmgias,17,Sports
-UIgILLE7zI,17,Sports
-UNIX7jxhCQ,2,Autos & Vehicles
-Uh7f7MiPQY,24,Entertainment
-Uh847JeSug,19,Travel & Events
-UnNy1CtJhM,25,News & Politics
-UroBRG1rY8,10,Music
-V1CpaJeQ-o,1,Film & Animation
-VUTG9WU0Mc,26,Howto & Style
-VlCKOLrkHI,10,Music
-VoYIPmKlhQ,28,Science & Technology
-VyqsVbKFyo,24,Entertainment
-W95MRL09GA,28,Science & Technology
-W9TJ9ZLLDc,15,Pets & Animals
-WMkegLXgGg,26,Howto & Style
-WRGbbSgUds,2,Autos & Vehicles
