channel_id,subscriberCount,viewCount,videoCount
UCQIUhhcmXsu6cN6n3y9-Pww,37500000.0,10123584691.0,1600.0
UCPVpbXIiIDwDKVvu68-Vb-A,443000.0,43384612.0,1387.0
UC5_IT4-XpinnvNQwM1e15eQ,4010000.0,636340505.0,241.0
UCKuHFYu3smtrl2AwwMOXOlg,10800000.0,1881824823.0,347.0
UCd9TUql8V7J-Xy1RNgA7MlQ,2640000.0,803197548.0,682.0
UC0v-tlzsn0QZwJnkiaUSJVQ,20100000.0,13755772168.0,5378.0
UCqwOmKcXJSQpGOrGAW7ircw,729000.0,196447957.0,604.0
UC2E-9AQ-kwOFlvvXLfY6V8Q,633000.0,171903074.0,344.0
UCKyU-wd-KY4PMOcOpPQgQcw,27000000.0,23201935808.0,70296.0
UCoLrcjPV5PbUrUyXq5mjc_A,6980000.0,7399813397.0,306475.0
UCAatjI5Yc8o7WZcHDbNw7eA,7400000.0,8923062335.0,4993.0
UCYVinkwSX7szARULgYpvhLw,19700000.0,7206619387.0,5022.0
UCVsTboAhpnuL6j-tDePvNwQ,2250000.0,114249510.0,279.0
UCss_0YiNRBiQzFLt2dosZIg,3970000.0,411582559.0,39.0
UChfTcl5XfdTUCjkfuro982Q,19400000.0,7334627575.0,211.0
UCOGxnF5dWQtoEz6E-msabZA,364000.0,410686821.0,17928.0
UCgvqvBoSHB1ctlyyhoHrGwQ,9260000.0,4135050151.0,1257.0
UCL9aTJb0ur4sovxcppAopEw,9370000.0,1403619883.0,449.0
UCzjd9v6DMprAAvOBB4sxBPA,4150000.0,605775029.0,467.0
UCLcSqjJWHJeDWD_SbdorBRw,189000.0,24560753.0,1211.0
UCzpCc5n9hqiVC7HhPwcIKEg,4420000.0,1598993217.0,2787.0
UCL_qhgtOy0dy1Agp8vkySQg,2600000.0,850287715.0,1746.0
UC_ovJB6xS99RQGIq7ik5T_A,1160000.0,211791326.0,514.0
UCeS9Gr2R2nJa_wrjUke2-Tw,1050000.0,396157750.0,2663.0
UCebC4x5l2-PQxg46Ucv9CsA,35700000.0,11014735377.0,1552.0
UCIv0wH_CdWgttwX6B-Cyt8w,596000.0,417717881.0,7604.0
