video_id,category_id
-RxebQuFgJY,10
-S0e966arrY,24
-S5_MQH9jDA,28
-SFfzy7jGtE,20
-SXMayeV9Dw,23
-S_f-huz-EU,25
-Se_HrAfFz8,28
-SowY0eORCQ,20
-SqknX3CVGQ,26
-St6ViJcE0M,22
-Svix0tetP4,23
-T3HXRVMF-w,20
-T4hyL-YNws,20
-T6CISwlxMc,1
-TCXitmTijM,1
-THCqN6CJng,17
-TMnvi3kdQU,22
-TRrO3q2PzU,23
-TXd_rai9r4,1
-TZr-Q6T8NA,24
-TeeIEh2IE8,24
-ThOLu_zO1M,20
-Th_J8RUCKM,2
-ToHbHcolfA,10
-TovRjgudXs,2
-Tw4SetEROI,17
-TxNy1Ht5tQ,25
-UCDXvmgias,17
-UIgILLE7zI,17
-UNIX7jxhCQ,2
-Uh7f7MiPQY,24
-Uh847JeSug,19
-UnNy1CtJhM,25
-UroBRG1rY8,10
-V1CpaJeQ-o,1
-VUTG9WU0Mc,26
-VlCKOLrkHI,10
-VoYIPmKlhQ,28
-VyqsVbKFyo,24
-W95MRL09GA,28
-W9TJ9ZLLDc,15
-WMkegLXgGg,26
-WRGbbSgUds,2
-WZc3q9VuKM,26
-WlRjarqNuE,24
-WlY1BFip2c,22
-Wx6npt421c,27
-X6blkvHU0g,22
-X98QQu9UoA,10
-XDZNQNoLeo,10
-XEHeDXvu80,17
-XPnUghHpM4,20
-Xc2G1FwCFk,17
-XiNeLQX_xA,22
-XqfK0PlrCQ,17
-Y2Mi2iAVMY,1
-Y8rdML9fpI,28
-YH9xASE2u0,1
-YTgFUNwRKk,10
-YVqPo4WOWQ,24
-YrK6IY-4-o,20
-Ys4zp-cQOU,28
-YuI0i23MNM,24
-YwcJ6N4wcM,17
-ZDZtBRTyeI,25
-ZK-U3Ofr1A,28
-ZRoI1GMc5w,22
-ZXevnfKf3g,1
-ZZlZPKgeuk,20
-Zeyodzl0qo,23
-ZgaHS-s0m8,17
-ZmNQqIqcXs,1
-ZmPjb5-u6Y,10
-_GrdsnIge4,17
-_P_cD0yimw,10
-_QbXK3_5Go,10
-_attUbB6pw,24
